"";"ref.date";"ticker";"price.adjusted"
"1745";2021-01-15;"PETR4.SA";22,855711
"1746";2021-01-18;"PETR4.SA";22,815073
"1747";2021-01-19;"PETR4.SA";23,319004
"1748";2021-01-20;"PETR4.SA";22,928862
"1749";2021-01-21;"PETR4.SA";22,392418
"1750";2021-01-22;"PETR4.SA";22,018538
"1751";2021-01-26;"PETR4.SA";21,945385
"1752";2021-01-27;"PETR4.SA";22,2705
"1753";2021-01-28;"PETR4.SA";22,563107
"1754";2021-01-29;"PETR4.SA";21,693419
"1755";2021-02-01;"PETR4.SA";22,376165
"1756";2021-02-02;"PETR4.SA";23,294619
"1757";2021-02-03;"PETR4.SA";23,522202
"1758";2021-02-04;"PETR4.SA";23,424665
"1759";2021-02-05;"PETR4.SA";23,440922
"1760";2021-02-08;"PETR4.SA";22,847584
"1761";2021-02-09;"PETR4.SA";22,384295
"1762";2021-02-10;"PETR4.SA";22,595617
"1763";2021-02-11;"PETR4.SA";22,8232
"1764";2021-02-12;"PETR4.SA";23,115805
"1765";2021-02-17;"PETR4.SA";24,050516
"1766";2021-02-18;"PETR4.SA";23,790421
"1767";2021-02-19;"PETR4.SA";22,213606
"1768";2021-02-22;"PETR4.SA";17,613203
"1769";2021-02-23;"PETR4.SA";19,555777
"1770";2021-02-24;"PETR4.SA";19,832127
"1771";2021-02-25;"PETR4.SA";18,848648
"1772";2021-02-26;"PETR4.SA";18,076494
"1773";2021-03-01;"PETR4.SA";17,881424
"1774";2021-03-02;"PETR4.SA";17,873297
"1775";2021-03-03;"PETR4.SA";17,223063
"1776";2021-03-04;"PETR4.SA";18,060238
"1777";2021-03-05;"PETR4.SA";18,198412
"1778";2021-03-08;"PETR4.SA";17,149914
"1779";2021-03-09;"PETR4.SA";17,54818
"1780";2021-03-10;"PETR4.SA";18,157774
"1781";2021-03-11;"PETR4.SA";18,929928
"1782";2021-03-12;"PETR4.SA";18,832392
"1783";2021-03-15;"PETR4.SA";19,22253
"1784";2021-03-16;"PETR4.SA";18,921797
"1785";2021-03-17;"PETR4.SA";19,572031
"1786";2021-03-18;"PETR4.SA";18,889286
"1787";2021-03-19;"PETR4.SA";19,507008
"1788";2021-03-22;"PETR4.SA";19,116869
"1789";2021-03-23;"PETR4.SA";18,531658
"1790";2021-03-24;"PETR4.SA";18,547913
"1791";2021-03-25;"PETR4.SA";18,856775
"1792";2021-03-26;"PETR4.SA";19,0681
"1793";2021-03-29;"PETR4.SA";19,368834
"1794";2021-03-30;"PETR4.SA";19,368834
"1795";2021-03-31;"PETR4.SA";19,588287
"1796";2021-04-01;"PETR4.SA";19,417601
"1797";2021-04-05;"PETR4.SA";19,53952
"1798";2021-04-06;"PETR4.SA";19,523266
"1799";2021-04-07;"PETR4.SA";19,507008
"1800";2021-04-08;"PETR4.SA";19,263172
"1801";2021-04-09;"PETR4.SA";19,22253
"1802";2021-04-12;"PETR4.SA";19,417601
"1803";2021-04-13;"PETR4.SA";19,482624
"1804";2021-04-14;"PETR4.SA";19,791485
"1805";2021-04-15;"PETR4.SA";19,398998
"1806";2021-04-16;"PETR4.SA";19,281378
"1807";2021-04-19;"PETR4.SA";20,398773
"1808";2021-04-20;"PETR4.SA";20,012304
"1809";2021-04-22;"PETR4.SA";19,919889
"1810";2021-04-23;"PETR4.SA";19,903086
"1811";2021-04-26;"PETR4.SA";19,978701
"1812";2021-04-27;"PETR4.SA";19,4074
"1813";2021-04-28;"PETR4.SA";20,113123
"1814";2021-04-29;"PETR4.SA";19,844276
"1815";2021-04-30;"PETR4.SA";19,844276
"1816";2021-05-03;"PETR4.SA";19,684649
"1817";2021-05-04;"PETR4.SA";19,230967
"1818";2021-05-05;"PETR4.SA";20,020706
"1819";2021-05-06;"PETR4.SA";19,743458
"1820";2021-05-07;"PETR4.SA";20,482786
"1821";2021-05-10;"PETR4.SA";20,751635
"1822";2021-05-11;"PETR4.SA";21,1297
"1823";2021-05-12;"PETR4.SA";20,818846
"1824";2021-05-13;"PETR4.SA";20,995275
"1825";2021-05-14;"PETR4.SA";22,095869
"1826";2021-05-17;"PETR4.SA";22,398321
"1827";2021-05-18;"PETR4.SA";22,137878
"1828";2021-05-19;"PETR4.SA";21,969849
"1829";2021-05-20;"PETR4.SA";21,785015
"1830";2021-05-21;"PETR4.SA";21,801819
"1831";2021-05-24;"PETR4.SA";22,171484
"1832";2021-05-25;"PETR4.SA";21,709402
"1833";2021-05-26;"PETR4.SA";21,919439
"1834";2021-05-27;"PETR4.SA";21,768213
"1835";2021-05-28;"PETR4.SA";22,675571
"1836";2021-05-31;"PETR4.SA";22,574753
"1837";2021-06-01;"PETR4.SA";22,927618
"1838";2021-06-02;"PETR4.SA";23,414902
"1839";2021-06-04;"PETR4.SA";23,944193
"1840";2021-06-07;"PETR4.SA";23,767763
"1841";2021-06-08;"PETR4.SA";24,078617
"1842";2021-06-09;"PETR4.SA";24,078617
